symptoms,disease
accompanied with chills|dengue|the joint pain i have been experiencing is severe and feels like a constant ache my head aches most of the time and i am starting to develope mild fever,Dengue
dengue|the vomiting i have been experiencing is accompanied by stomach cramps and dizziness i have lost my apetite and feel weak as a result there is a pain behind my eyes too,Dengue
dengue|the fever i have been experiencing is accompanied by sweating and weakness my muscles pain as a result i cannot work all day,Dengue
dengue|neck and legs|the fatigue i have been feeling is extreme and makes it difficult for me to perform even basic tasks i feel vomitting and developed rashes on my arms,Dengue
dengue|the headache i have been experiencing is severe and is accompanied by a feeling of pressure in my head i have mild fever along with headache there are small red spots on my back,Dengue
dengue|the nausea i have been feeling is accompanied by a loss of appetite and feeling of unease there is a distinct pain in my back and muscles pain too,Dengue
dengue|the muscle pain i have been experiencing is severe and feels like a constant ache there are red spots all over my body and the itching is causing me a lot of discomfort,Dengue
acompanied with headache and chills|dengue|i have developed a skin rash that covers my entire body and is accompanied by intense itching my body pains and i have a mild fever,Dengue
dengue|headache and vomiting i ve developed red spots that covers my entire body and causes severe itching|i m experiencing extreme body pain,Dengue
and my arms and neck have rashes the back of eyes pain a lot i also have fever and it is making we worried about my health|dengue|my back hurts all the time,Dengue
dengue|i ve been suffering from significant joint pain|which makes it difficult for me to walk and carry out my everyday tasks i ve also lost my appetite|which makes me feel weak and feel like vomitting,Dengue
dengue|there is a constant behind my eyes i have developed red spots on my neck and face and rashes on my arms my arms and legs pain a lot the spots are itchy and uncomfortable and it is worrying me,Dengue
and swollen red dots all over my back|dengue|i ve been feeling sick and feel a strong need to vomit there is a sharp ache behind my eyes,Dengue
dengue|my shivers and shivering have been accompanied with a sensation of coldness and a very fever rashes on my arms and red patches on my neck have also appeared,Dengue
and i am developing a moderate fever with chills the fever that doesn t seem to come down even with medication|dengue|i have been suffering from severe joint ache i feel vomiting most of the time,Dengue
back|dengue|neck pain most of the time|the vomiting i ve been having has been followed by stomach pains and dizziness i ve lost my appetite and as a result feel weak my arms,Dengue
dengue|i have developed red spots on my arms and legs that are itchy and inflamed i have been feeling nauseaus and have a constant urge to vomit this is accomapanied by mild fever,Dengue
and is worse in certain areas such as my arms and legs i have also lost my appetite|dengue|i have developed a skin rash that covers my entire body the rash is red and swollen,Dengue
dengue|i have been experiencing chills and shivering there is a strong pain in my back and also behind my eyes i have also noticed small red spots on my back and neck,Dengue
dengue|i have been experiencing severe joint pain that is making my day very difficult i feel like vomiting all the time and have a mild headache too,Dengue
because of which i cannot sleep properly|dengue|i have been vomiting frequently and have lost my appetite as a result there are rashes on my skin and my eyes pain,Dengue
dengue|i have a fever along with a severe headache the fever is accompanied by extreme body pain and chills i am worried about my health and don t know what to do,Dengue
and i have no energy to do anything the fatigue is so severe that i struggle to get out of bed i have noticed small red spots on my arms and legs|dengue|i have been feeling extremely tired and fatigued,Dengue
dengue|i have been experiencing a severe headache that is accompanied by pain behind my eyes i feel tired and fatigued because of which i cannot work all day i am worried about my health,Dengue
dengue|i have been feeling nauseous and have a constant urge to vomit|which is accompanied with mild fever and headache,Dengue
dengue|i have developed rashes on my body that are itchy and i have lost my appetite and feel very tired all day i feel something is wrong with my body,Dengue
dengue|i have been experiencing muscle pain and headache the muscle pain feels like a constant ache and is worse when i try to use the affected muscles there are small red spots developing on my face|neck and arms,Dengue
and i have rashes on my arms and armpits the back of my eyeballs hurt a lot i also have a mild fever|dengue|my back hurts|which is making us concerned about my health,Dengue
arms|dengue|i am experiencing very fever and chills every night it is really concerning me moreover|i don t feel like eating anything and my back|legs pain a lot there is a strange pain behing my eyes i can t do any physical activities,Dengue
as a result of my regular vomiting|dengue|i ve lost my appetite my muscles|joints and back constantly hurt i am starting to have fever too i am really worried and not sure what to do,Dengue
dengue|i have been experiencing a severe fever that is accompanied by pain behind my eyes and headache i feel tired and exhasuted because of which i cannot do any work,Dengue
dengue|my whole body is paining a lot and i don t feel like eating anything i have mild fever and get chills every night also|there are some red spots developing on my back and neck,Dengue
dengue|i am not able to focus on my work and don t feel like doing anything|my joints and back pain everyday i feel like vomitting and this has made me very weak because of my body pain,Dengue
dengue|the body pain i have been feeling is extreme i has lost my appetite and developed rashes on my arms and face the back of my eyes pain a lot,Dengue
dengue|i have developed rashes on my body i am also experiencing fever along with chills and headache my joints and back hurt and there is a strange pain in the back of my eyes,Dengue
dengue|i feel i have lost my appetite|i have been feeling nauseous and have a constant urge to vomit i get fever and chills every night and feel terrible because of this also,Dengue
because of which i can t sleep too|dengue|i have mild fever and get chills|there are rashes on my skin|which itch if i touch them i don t feel good as my joints pain whole day at night,Dengue
a rash that looks red and inflamed|and itching on my skin|discoloured areas of skin that are different colours from the rest of my skin|fungal infection|i have raised lumps,Fungal infection
all over my body|bumpy rash my skin also has a few darkened spots and a few tiny|fungal infection|nodular breakouts it has been happening for several days and is becoming worse|there has been a severe itching that has been followed by a red,Fungal infection
and i also have a lot of nodular eruptions and really bad itching during the previous week|fungal infection|i ve had a rash on my skin that looks like dischromic patches|it has become worse,Fungal infection
fungal infection|i ve had a rash that won t go away and a bothersome itching on my skin in addition|i ve seen some color-different areas and bumps that resemble knots or lumps on my skin,Fungal infection
and i can t stop scratching because my skin is itchy my skin also has a few spots where the hue is altered and some lumps and knot-like pimples|fungal infection|i have a rash all over my body,Fungal infection
and i have a rash all over my body my skin also has a few spots where the hue is altered and some lumps and knot-like pimples|fungal infection|my skin has been quite itchy|recently,Fungal infection
fungal infection|i have a few areas of my skin that are a different hue than the rest of it additionally|i have a few firm pimples or breakouts on my skin|my skin has been itching a lot and developing a rash additionally,Fungal infection
all over my body has been itching like crazy|and now there are red areas all over additionally|fungal infection|some of the patches have a different tone than my natural skin and on my skin|there are these lumps or pimples that have developed,Fungal infection
becoming extremely itchy and rashes-prone additionally|fungal infection|my skin has been acting up recently|there are certain spots that deviate from my natural skin tone in terms of hue and now my skin has these lumps or bumps that weren t there before,Fungal infection
fungal infection|i have a lot of red pimples and itchy skin my skin also has a few odd-looking lesions and occasionally there are bumps that are somewhat uncomfortable|on my arms and legs,Fungal infection
fungal infection|i have an itchy skin and lots of red bumps on my arms and legs there are some weird looking spots on my skin too and sometimes there are bumps that feel kind of hard,Fungal infection
doctor|fungal infection|i have a really itchy rash on my skin and there are some weird spots that are a different color there are also some bumps on my skin that look like little knots,Fungal infection
along with some odd patches of a different hue my skin also has a few pimples that resemble little knots|doctor|fungal infection|my skin is covered in a very uncomfortable rash,Fungal infection
and sometimes i get these weird bumps that look like little balls|and sometimes they turn red or bumpy there are also some weird patches that are different colors than the rest of my skin|fungal infection|i have lots of itchy spots on my skin,Fungal infection
fungal infection|my skin frequently develops itchy bumps that can occasionally turn red or rough aside from that|my skin occasionally develops strange pimples that resemble small balls and some odd spots that are a different hue from the rest of my skin,Fungal infection
as well as some little nodules on my skin that appear to be expanding|doctor|fungal infection|i have these red rashes that keep popping up and my skin is continuously itching in addition|i ve observed some odd color-different spots on my skin,Fungal infection
along with redness and bumps on my skin there are also these weird patches that are different colors than the rest of my skin|and sometimes i get these nodules that look like small bumps|fungal infection|i have been experiencing some really intense itching all over my body,Fungal infection
all over my body|as well as these strange patches that are a different hue from the rest of my skin|fungal infection|i occasionally get these nodules that resemble little pimples|i ve been scratching so much that my skin has become red and developed pimples additionally,Fungal infection
and i ve spotted several lumps that resemble little nodes|fungal infection|i ve been experiencing a lot of itching|which has been accompanied with a rash that appears to be growing worse over time there are also certain areas of skin that are different colours from the rest,Fungal infection
and i ve noticed some bumps that look like little nodes|and it s been accompanied by a rash that seems to be getting worse over time there are also some patches of skin that are different colors than the rest|fungal infection|i ve been having a lot of problems with itching,Fungal infection
doctor|fungal infection|my skin is covered in an uncomfortable rash and has a few odd patches of skin that are a different colour there are a few pimples on my skin that resemble little knots,Fungal infection
and it s been accompanied with a rash that looks to be getting worse over time there are also some patches of skin that are different colours from the rest of the skin|as well as some lumps that resemble little nodes|fungal infection|i ve been itching a lot,Fungal infection
becoming exceedingly itchy and prone to rashes furthermore|fungal infection|my skin has been acting up lately|several patches differ from my normal skin tone in terms of colour and now i have lumps or bumps on my skin that weren t there before,Fungal infection
a rash that appears to be developing throughout my skin has been accompanying my recent bouts of intense itching and discomfort on my skin|fungal infection|i also have some dischromic spots and little lumps that seem to be appearing everywhere,Fungal infection
and occasionally it becomes quite rough and red in addition|fungal infection|i occasionally get little pimples that resemble tiny balls and certain spots that are a different colour from the rest of my skin it severely irritates me and itches|my skin always itches,Fungal infection
and sometimes i get these little bumps that look like little balls it s really annoying and itchy|and sometimes it gets really red and bumpy there are also some patches that are different colors than the rest of my skin|fungal infection|i have a lot of itching all over my skin,Fungal infection
and my skin also has a few red|bumpy areas i ve also had some pimples that resemble small balls and other spots that are a different colour than the rest of my skin|fungal infection|i have a pretty irritating itch all over my body,Fungal infection
and i ve had some pimples that resemble little balls|as well as red and bumpy areas on my skin there are also certain patches of my skin that are a different hue than the rest of it|fungal infection|i ve had a pretty uncomfortable itch all over my body,Fungal infection
and i have red and bumpy spots on my skin too there are also some areas that are a different color than the rest of my skin|and i ve had some bumps that look like little balls|fungal infection|i ve been having this really annoying itch all over my body,Fungal infection
and i ve had some pimples that resemble little balls|as well as red and bumpy areas on my skin there are also certain patches of my epidermis with a distinct shade than the rest of it|fungal infection|i ve had a pretty uncomfortable itch all over my body,Fungal infection
and i ve had some bumps that are kind of hard|fungal infection|i ve been really itchy lately and there are these rashy spots all over my skin there are also some areas that look different in shade than the rest of my skin,Fungal infection
and i have rashy patches all over my skin there are also certain regions that are darker in colour than the rest of my skin|and i ve got some firm lumps|fungal infection|i ve been quite itchy recently,Fungal infection
and i have rashy blotches all over my skin there are also certain regions that are more dark in color than the rest of my skin|and i ve got some painful lumps|fungal infection|i ve been rather itchy recently,Fungal infection
and my skin is covered with rashy places additionally|and there are certain spots on my body that have a different shade of brown than the rest of my skin|fungal infection|i ve been scratching myself a lot|i ve had a few pimples that are rather firm|recently,Fungal infection
and i ve had some bumps that are kind of hard|fungal infection|my skin has been really itchy and there are these rashy spots all over there are also some patches that look different in color than the rest of my skin,Fungal infection
and there are rashes all over my body i have some bumps that are quite firm|as well as some areas that are a darker shade from the rest of my skin it s extremely unpleasant|fungal infection|my skin has been really scratchy,Fungal infection
fungal infection|i have some bumps that are fairly firm and some patches that are a different colour from the rest of my skin|there are rashy areas all over my skin|which has been really irritating additionally,Fungal infection
and i ve experienced a few lumps that are quite painful|and my skin is covered with rashy places in addition|fungal infection|i ve been scratching myself a lot|recently|there are a few spots where my skin doesn t appear to be its usual shade,Fungal infection
and i ve had some bumps that are kind of hard|fungal infection|i ve been really itchy lately and there are these rashy spots all over my skin there are also some areas that don t look like the normal color of my skin,Fungal infection
and i have rashy places all over my body there are also some regions that don t appear to be the typical hue of my skin|and i ve experienced some firm lumps|fungal infection|i ve been quite itchy recently,Fungal infection
and i ve experienced some painful bumps|fungal infection|i ve been itching and have rashy patches all over my skin recently there are also some regions that don t appear to be the regular tone of my skin,Fungal infection
and i ve experienced a few lumps that are exceptionally painful|and my skin is covered with rashy patches furthermore|fungal infection|i ve been itching myself a lot|recently|there are a few regions where my skin doesn t appear to be its usual tone,Fungal infection
and i ve had some bumps that are kind of like little lumps|fungal infection|i ve been having this constant itch and there are these red and bumpy spots on my skin there are also some patches that are a different color than the rest of my skin,Fungal infection
and i ve been scratching myself nonstop additionally|bumpy areas on my skin|fungal infection|i have some bumps that resemble little lumps and some spots that are a different shade of skin than the rest of my body|there are red,Fungal infection
and i occasionally get little pimples that resemble nodules|fungal infection|i ve had a lot of itching on my skin|which occasionally turns into a rash there are also some odd patches of skin that are a different hue than the rest of me,Fungal infection
and i regularly get little lumps that mimic nodules|fungal infection|i ve had a tendency of itching on my skin|that frequently turns into a rash there are also some strange patches of skin that are a different tone than the rest of my skin,Fungal infection
and sometimes i get little bumps that look like nodules|and sometimes it turns into a rash there are also some strange patches of skin that are a different color than the rest of me|fungal infection|i ve been experiencing a lot of itching on my skin,Fungal infection
and there are now red spots everywhere some of the patches also differ in tone from my natural complexion and there are these lumps or pimples that have appeared on my skin|fungal infection|my body has been itching terribly all over,Fungal infection
and it occasionally erupts into a rash in addition|and occasionally i develop little bumps that look like nodules|fungal infection|i have a few odd areas of skin that are a different coloration from the rest of me|my skin has been really itchy lately,Fungal infection
fungal infection|there are now red blotches all over my body where i have been itching horribly all over a few of the patches also differ in complexion from my natural skin and these lumps or bumps have developed on my skin,Fungal infection
and i ve been coughing a lot my fever is really high too|common cold|i can t stop sneezing and my nose is really runny i m also really cold and tired all the time|like way above normal,Common Cold
and i can t seem to stop sneezing in addition|and i ve been coughing a lot my fever is also really high far above normal|common cold|exhausted|i constantly feel cold|my nose is extremely runny,Common Cold
and my cough won t go away my fever is really high|common cold|i ve been sneezing nonstop and i can t seem to shake this chill i m feeling really weak and tired,Common Cold
and my cough won t stop my temperature is really high|common cold|i ve been sneezing incessantly and i just can t get this chill to go away i feel so weak and exhausted,Common Cold
common cold|i m constantly sneezing and my body is shaking from being cold i m so tired i can barely move and my head is killing me my fever is through the roof,Common Cold
and my head hurts my fever is quite high|and the cold is making my body tremble i m so exhausted that i can hardly move|common cold|i m constantly sneezing,Common Cold
and i lack energy additionally|common cold|i have a very fever and feel like i am on fire|i ve been quite exhausted and ill i m sneezing nonstop and am quite cold my head is throbbing,Common Cold
common cold|i ve been feeling really tired and sick i ve been sneezing a lot and i can t seem to get warm i m so tired and my head is killing me and my fever is really high|like i m boiling,Common Cold
and i ve had a fairly nasty cough i ve got a lot of chills and a pretty high temperature just feeling extremely run down and weak|common cold|i ve been quite exhausted and ill my throat has been quite painful,Common Cold
and my head hurts and i feel like i am boiling over with my high temperature|common cold|i ve been quite exhausted and ill i have been sneezing a lot and am having trouble warming up i m so exhausted,Common Cold
common cold|i can t stop sneezing and i feel really tired and crummy my throat is really sore and i have a lot of gunky stuff in my nose and throat my neck feels swollen and puffy too,Common Cold
and i m exhausted and sick my throat is really uncomfortable|and there is a lot of junk in my nose and throat my neck is also swollen and puffy|common cold|i can t stop sneezing,Common Cold
and i m miserable and exhausted i have a lot of gunky things in my nose and throat|and my throat is really hurting my neck also feels puffy and swollen|common cold|i keep sneezing,Common Cold
common cold|i ve been feeling really exhausted and sick to my stomach i ve had a really bad cough and my throat has hurt a lot i ve experienced substantial sinus pressure and a congested nose i m really unpleasant and worn out,Common Cold
common cold|i ve been sneezing a lot and feeling really tired and sick there s also a lot of gross stuff coming out of my nose and my throat feels really scratchy and my neck feels swollen too,Common Cold
and a lot of gross stuff is flowing out of my nose my neck also feels bloated|common cold|i ve been wheezing a lot and am generally feeling sick and exhausted my throat feels really scratchy,Common Cold
and breathing has been challenging|and my eyes are continuously red i just constantly feel drained and exhausted in addition|common cold|i have a lot of uncomfortable phlegm in my throat my lymph nodes feel bloated|my sinuses feel incredibly congested,Common Cold
common cold|my eyes have been really red and my sinuses feel congested i just don t have any energy and my throat has been really itchy i ve also noticed my lymph nodes are swollen and i ve been coughing up a lot of phlegm,Common Cold
and my eyes have been quite red i simply lack energy|and my throat has been really scratchy along with the swelling in my lymph nodes|common cold|i ve also been coughing up a lot of phlegm|my sinuses feel stuffy,Common Cold
and i keep coughing up all this gunk my throat feels sore and scratchy|and i ve noticed that the bumps on my neck are bigger than usual|and my nose feels all stuffy and congested i just feel kind of sick and tired all the time|common cold|my eyes are always red and itchy,Common Cold
and i keep hacking up this gunk i have a scratchy|and i ve seen that my neck s bumps are larger than usual|and my eyes are always red and itching i have a feeling of being unwell and fatigued|common cold|irritated throat|my nose always feels stuffy and congested,Common Cold
and lately|and my eyes don t quit dripping it s incredibly difficult for me to breathe because it feels like there is something trapped in my throat i often feel exhausted|common cold|i keep sneezing|i ve had a lot of phlegm moreover|my lymph nodes are enlarged,Common Cold
common cold|my eyes are red and watery all the time i ve also had this pressure in my sinuses that won t go away i m always feeling tired and i ve been having a lot of trouble breathing i ve also had a lot of gunk in my throat and my lymph nodes are swollen,Common Cold
common cold|i have a lot of throat mucus and inflamed lymph nodes|my eyes are constantly red and runny a persistent tightness in my sinuses has also been bothering me i ve been having a lot of difficulties breathing and constantly feel fatigued in addition,Common Cold
and i can t smell anything|and my eyes are constantly very red and runny in addition|common cold|my chest hurts and i ve been having a lot of breathing problems in addition|my muscles feel quite painful|my nose feels quite clogged,Common Cold
and my nose is always stuffy i ve also been having difficulty breathing and my chest hurts in addition|common cold|i can t smell anything and my muscles are quite painful|my eyes are usually red and runny,Common Cold
and i have the impression that something is clogging my sinuses i ve been coughing up a lot of gunk|and my chest hurts i can t smell anything|and my muscles are aching|common cold|my eyes are usually red and inflamed,Common Cold
and i feel like there s something blocking my sinuses i ve been coughing up a lot of goo and my chest feels really heavy i can t smell anything and my muscles are really sore|common cold|my eyes are always red and swollen,Common Cold
and coughing pains my chest i can t smell anything|and i am experiencing facial pressure i also have a lot of phlegm|and my muscles are aching|common cold|i ve been coughing a lot and feeling chilly and shivery my nose has been quite clogged,Common Cold
and coughing pains my chest i can t smell anything|and i have facial pressure i ve also been creating phlegm|and my muscles are aching|common cold|for days|i ve had a nasty cough and cold my sinuses are clogged,Common Cold
and i have facial pressure i ve also been coughing up mucus|and it pains my chest i can t smell anything and my muscles are aching|common cold|i ve had a nasty cough and cold for days my sinuses are congested,Common Cold
and it hurts in my chest i have no sense of smell|and my face is under strain additionally|and my muscles hurt a lot|common cold|i ve been coughing up phlegm|my cough and cold have been awful for days my sinuses are congested,Common Cold
and i can t smell anything|and my chest hurts my muscles hurt a lot|common cold|i m coughing nonstop and i m shivering terribly i have a stuffy nose and my face is under strain in addition|my throat is coughing up some nasty gunk,Common Cold
common cold|i can t stop coughing and i feel really cold my sinuses are all blocked and i have a lot of mucus my chest hurts and i can t smell anything my muscles are also really sore,Common Cold
and my chest hurts my muscles are quite painful as well|and my sinuses are fully clogged i can t smell anything|common cold|i m coughing nonstop and am really chilly my mucus production is excessive,Common Cold
and i m inundated with mucous my chest hurts|and i m unable to smell anything my muscles are also really achy|common cold|i can t stop coughing and i m freezing my sinuses are completely blocked,Common Cold
and i ve been feeling really congested|common cold|i ve been coughing a lot and finding it difficult to breathe my throat hurts and i feel like i have a lot of phlegm trapped in my chest my nose has been running a lot,Common Cold
and i ve had a fairly nasty cough i ve got a lot of chills and a pretty high temperature just feeling extremely run down and weak|common cold|i ve been quite exhausted and ill my throat has been quite painful,Common Cold
and i ve had significant sinus pressure i m really miserable and extremely exhausted|common cold|i ve been experiencing severe weariness and a sickly sensation my throat has been really painful and i ve had a fairly severe cough my nose has been quite stuffy,Common Cold
common cold|i ve been feeling really sick and i ve had a lot of fatigue i ve had a really bad cough and my throat has been really sore i ve had a lot of sinus pressure and my nose has been really congested i just feel really run down and miserable,Common Cold
and i ve had a fairly nasty cough i ve got a lot of chills and a pretty high temperature simply put|common cold|i feel really run down and feeble|i ve been quite exhausted and ill my throat has been quite painful,Common Cold
common cold|i ve been really weary and ill i ve been suffering from a severe cough and sore_throat i ve got a lot of chills and a pretty high temperature i simply feel tired and run down,Common Cold
and i ve been coughing a lot my fever is also really high|and my nose is running i m also constantly chilly and exhausted|common cold|i can t quit sneezing|well above usual,Common Cold
and i ve been experiencing severe muscular discomfort|common cold|i ve been feeling awful|with a lot of congestion and a runny_nose i ve been coughing a lot and having a lot of chest pain my fever has been really high,Common Cold
and i am experiencing facial pressure my chest hurts|and i m exhausted my throat is scratchy|and i m unable to smell anything|and my eyes are burning red my nose is really clogged|common cold|my neck is swollen,Common Cold
and my chest hurts|and my face is under pressure i can t smell anything|and my throat feels scratchy i have severe congestion in my nostrils|common cold|i lack energy and feel like my neck is bloated my eyes are red,Common Cold
and my chest hurts|and my lymph nodes are enlarged my eyes are burning|and my nose is stuffy i can t smell anything|and my throat hurts my sinuses are under strain|common cold|i feel quite weak,Common Cold
and my muscles are in terrible pain|common cold|i ve had a terrible cough and cold for days my face is tired and my sinuses are blocked in addition|my chest hurts from the phlegm i ve been coughing up i can t smell,Common Cold
and i also have a lot of throat mucous|and i ve been feeling worn out all the time my lymph nodes are irritated|common cold|i have red|watery eyes all the time my sinuses have also been bothered by a constant tightness my breathing has been quite tough,Common Cold
and i ve been coughing up a lot of gunk i have no sense of smell|and my muscles hurt a lot|common cold|i always get hot|puffy eyes and the feeling that something is obstructing my sinuses my chest feels quite heavy,Common Cold
and i ve been coughing a lot with chest pain my heart is beating really fast too|and when i cough|i ve been feeling really cold and tired lately|pneumonia|the phlegm is kind of a rusty color,Pneumonia
and the phlegm i cough up has a reddish hue|i ve been coughing a lot recently with chest pain and feeling incredibly chilly and exhausted additionally|my heart is thumping rapidly|pneumonia,Pneumonia
and i can t stop coughing it hurts in my chest when i do|and my heart feels like it s racing the mucus i m coughing up is a gross brownish color|i ve been feeling really drained and cold|pneumonia,Pneumonia
and i can t stop coughing when i do|i ve been exhausted and chilly|it pains in my chest and makes my heart race my coughing mucous has a disgusting brownish hue|pneumonia,Pneumonia
and i can t seem to shake this cough my chest hurts when i cough|and my heart feels like it s going a million miles an hour the phlegm i m coughing up is a dirty rust color|i ve been having chills and feeling exhausted|pneumonia,Pneumonia
and i can t seem to get rid of this cough when i cough|feeling worn out|i ve been experiencing chills|my chest aches and my heart feels as like it is beating a million miles per hour i m coughing up a nasty rust-colored phlegm|pneumonia,Pneumonia
and my heart is pounding the mucus i m bringing up is a rusty brown color|and this cough won t go away it hurts in my chest when i cough|i ve been feeling really weak and cold lately|pneumonia,Pneumonia
and my heart is racing the mucus i m bringing up is a gross brownish color|and this cough won t go away my chest hurts when i cough|i ve been having chills and feeling really worn out|pneumonia,Pneumonia
and my cough just won t go away when i cough|feel really exhausted|i ve been experiencing chills|my chest aches and my heart is pounding it s a disgusting brownish hue|pneumonia|the mucous i m coming up,Pneumonia
and i have some brownish sputum|and i m having trouble breathing i m sweating a lot and feeling really cold and tired my heart is beating really fast|i have a really fever|pneumonia,Pneumonia
and i m coughing up some brownish mucus|i m having problems breathing and have a very fever i m perspiring a lot and experiencing extreme fatigue and chilly my heart is racing|pneumonia,Pneumonia
and i m having a hard time breathing i m sweating profusely|and i m shaking with chills i m really tired|and my heart is beating really fast i also have some brownish phlegm coming up|my temperature is very high|pneumonia,Pneumonia
and i m quite exhausted additionally|and my fever is really high i m drenched in sweat and shivering from the chill my heart is thumping rapidly|i m about to have some brownish phlegm|i m having trouble breathing|pneumonia,Pneumonia
and i m having trouble catching my breath i m sweating a lot|and my heart is beating really fast i also have some brownish phlegm coming up|feeling cold and tired|my fever is really high|pneumonia,Pneumonia
and i feel chilly and exhausted i m also about to cough out some brownish phlegm|and i have problems breathing my heart is racing quite quickly|i have a really fever|i m perspiring a lot|pneumonia,Pneumonia
and extreme fatigue my heart rate is rapid|and i ve been coughing up a lot of brownish sputum|chills|i ve been feeling really sick with a fever|pneumonia|shortness_of_breath|sweating,Pneumonia
and intense exhaustion|chills|i ve been feeling quite poorly i ve been coughing up a lot of brownish phlegm and my pulse rate is racing|pneumonia|shortness_of_breath|sweating|with a high temperature,Pneumonia
i m having a really hard time catching my breath and i m sweating a lot i feel really sick and have a lot of mucus in my throat my chest hurts and my heart is racing the mucus i m coughing up is dark and looks like rust|pneumonia,Pneumonia
and my chest aches i m coughing up thick mucous that resembles rust|and my throat is very mucous my heart is pounding|i m sweating profusely and finding it difficult to catch my breath i feel quite ill|pneumonia,Pneumonia
and the hue of the mucus i m coughing up is off|i m having a lot of trouble breathing and am really uneasy i m feeling unwell and am perspiring a lot my chest hurts and i have a lot of mucus in my throat my heart is racing|pneumonia,Pneumonia
i can t seem to get enough air and i m sweating a lot i don t feel well and there s a lot of phlegm in my throat my chest hurts and my heart is racing the mucus i m coughing up is reddish in color|pneumonia,Pneumonia
and i don t feel good my heart is pounding|and my chest aches i m coughing up reddish-colored mucous|i m sweating profusely and can t seem to get enough air my throat is filled with a lot of mucus|pneumonia,Pneumonia
i can t seem to catch my breath and i m sweating a lot i feel really sick and have a lot of phlegm in my throat my chest hurts and my heart is racing the mucus i m coughing up is yellowish|pneumonia,Pneumonia
and i feel awful my heart is pounding|and my chest aches i m coughing up brownish mucous|i m dripping with perspiration and can t seem to catch my breath my throat is filled with a lot of phlegm|pneumonia,Pneumonia
i m having a hard time breathing and i feel really uncomfortable i m sweating a lot and there s a lot of phlegm in my throat my chest hurts and my heart is beating fast the mucus i m coughing up is brownish|pneumonia,Pneumonia
and i m perspiring a lot my heart is racing|and my chest aches i m coughing up reddish mucous|i m having trouble breathing and am quite uneasy my throat is filled with a lot of phlegm|pneumonia,Pneumonia
i can t seem to catch my breath and i m sweating a lot i feel really sick and have a lot of phlegm in my throat my chest hurts and my heart is racing the mucus i m coughing up is brownish and stringy|pneumonia,Pneumonia
and i feel awful my heart is pounding|and my chest aches i m coughing up a stringy|brownish mucous|i m dripping with perspiration and can t seem to catch my breath my throat is filled with a lot of phlegm|pneumonia,Pneumonia
and my heart is racing i m coughing up mucus that is crimson in colour|i m drenched with sweat and struggling to breathe i don t feel well and have a lot of mucous in my throat my chest aches|pneumonia,Pneumonia
and extreme weariness my heart is beating|and i ve been coughing up a lot of brownish phlegm|chills|i ve been feeling very lousy|pneumonia|shortness_of_breath|sweating|with a high temperature,Pneumonia
and i feel chilly and exhausted i m also about to cough out some brownish phlegm|and i have problems breathing my heart is racing quite quickly|i have a really fever|i m perspiring a lot|pneumonia,Pneumonia
and i m having difficulty breathing i m drenched in sweat and shivering with chills i m quite fatigued|and my heart is racing i m also expecting some brownish phlegm|my fever is really high|pneumonia,Pneumonia
and i can t seem to shake this cough my chest aches and my heart feels like it s racing at a million miles per hour when i cough i m coughing out a foul rusty phlegm|feeling tired|i ve been getting chills|pneumonia,Pneumonia
i m having a hard time breathing and i feel really uncomfortable i m sweating a lot and there s a lot of phlegm in my throat my chest hurts and my heart is beating fast the mucus i m coughing up is brownish|pneumonia,Pneumonia
and my heart is racing i m coughing up dark mucous|i m having trouble breathing and am really uncomfortable i m sweating profusely and have a lot of mucus in my throat my chest aches|pneumonia,Pneumonia
and my heart has been racing rapidly|i ve got a fever and can t seem to catch my breath i ve been sweating profusely and generally feeling ill and weak i ve also had some quite thick and black phlegm my chest aches|pneumonia,Pneumonia
a cough|a fever|and difficulty breathing i ve been sweating a lot and just feeling really sick and weak i ve also had some phlegm that s been really thick and dark|fatigue|lately i ve been experiencing chills|pneumonia,Pneumonia
a cough|a high temperature|and difficulties breathing i ve been sweating profusely and generally feeling ill and weak i ve also had some quite thick and black phlegm|i ve recently been suffering with chills|lethargy|pneumonia,Pneumonia
a cough|a fever|and difficulty breathing i ve been sweating a lot and just feeling really sick and weak i ve also had some phlegm that s been really thick and dark|fatigue|lately i ve been experiencing chills|pneumonia,Pneumonia
a cough|a high temperature|and difficulties breathing i ve been sweating profusely and generally feeling ill and weak i ve also had some quite thick and red phlegm|i ve recently been suffering with chills|lethargy|pneumonia,Pneumonia
a cough|a high temperature|and difficulties breathing lately i ve been sweating profusely and generally feeling ill and weak i ve also had some quite thick and black phlegm|i ve had chills|lethargy|pneumonia,Pneumonia
a cough|and a high temperature i ve been sweating profusely and generally feeling ill and weak my chest aches|and my heart has been racing rapidly|exhaustion|i ve been having a lot of respiratory issues lately along with chills|pneumonia,Pneumonia
and a cough recently i ve been sweating tremendously and feeling overall unwell and weak i ve also had some thick|and my heart has been racing|black phlegm my chest aches|i ve been suffering with chills|pneumonia|tiredness,Pneumonia
and my chest hurts|black phlegm my heart has been beating frantically|i m running a temperature and can t seem to catch my breath i ve been sweating tremendously and feeling overall unwell and weak i ve also had some thick|pneumonia,Pneumonia
and i m miserable my heart is racing|and my chest aches i m coughing up a brownish stringy mucus|i m drenched with sweat and can t seem to catch my breath my throat is clogged with mucus|pneumonia,Pneumonia
